studytime,absences,mother_education,father_education,family_relationship,free_time,activities,going_out,romantic,higher,grade_period_1,grade_period_2,final_grade
2–5 hours,6,higher education,higher education,good,moderate,no,high,no,yes,F,F,F
2–5 hours,4,primary education only,primary education only,excellent,moderate,no,moderate,no,yes,F,F,F
2–5 hours,10,primary education only,primary education only,good,moderate,no,low,no,yes,F,F,D
5–10 hours,2,higher education,5th–9th grade,average,low,yes,low,yes,yes,B,B,B
2–5 hours,4,high school,high school,good,moderate,no,low,no,yes,F,D,D
2–5 hours,10,higher education,high school,excellent,high,yes,low,no,yes,B,B,B
2–5 hours,0,5th–9th grade,5th–9th grade,good,high,no,high,no,yes,C,C,D
2–5 hours,6,higher education,higher education,good,very low,no,high,no,yes,F,F,F
2–5 hours,0,high school,5th–9th grade,good,low,no,low,no,yes,A,A,A
2–5 hours,0,high school,higher education,excellent,very high,yes,very low,no,yes,B,B,B
2–5 hours,0,higher education,higher education,average,moderate,no,moderate,no,yes,D,F,F
5–10 hours,4,5th–9th grade,primary education only,excellent,low,yes,low,no,yes,D,C,C
< 2 hours,2,higher education,higher education,good,moderate,yes,moderate,no,yes,B,B,B
2–5 hours,2,higher education,high school,excellent,high,no,moderate,no,yes,D,D,D
5–10 hours,0,5th–9th grade,5th–9th grade,good,very high,no,low,yes,yes,B,A,A
< 2 hours,4,higher education,higher education,good,high,no,high,no,yes,B,B,B
5–10 hours,6,higher education,higher education,average,low,yes,moderate,no,yes,C,B,B
2–5 hours,4,high school,high school,excellent,moderate,yes,low,no,yes,F,D,D
< 2 hours,16,high school,5th–9th grade,excellent,very high,yes,very high,no,yes,F,F,F
< 2 hours,4,higher education,high school,average,very low,yes,moderate,no,yes,F,D,D
2–5 hours,0,higher education,high school,good,high,no,very low,no,yes,C,B,B
< 2 hours,0,higher education,higher education,excellent,high,no,low,no,yes,C,B,B
2–5 hours,2,higher education,5th–9th grade,good,very high,yes,very low,no,yes,B,B,A
2–5 hours,0,5th–9th grade,5th–9th grade,excellent,high,yes,high,no,yes,C,C,C
5–10 hours,2,5th–9th grade,higher education,good,moderate,yes,low,no,yes,D,F,F
< 2 hours,14,5th–9th grade,5th–9th grade,very poor,low,no,low,no,yes,F,F,F
< 2 hours,2,5th–9th grade,5th–9th grade,good,low,no,low,no,yes,C,C,D
< 2 hours,4,higher education,5th–9th grade,poor,low,no,high,no,yes,B,A,B
2–5 hours,4,high school,higher education,excellent,moderate,yes,moderate,no,yes,D,D,D
2–5 hours,16,higher education,higher education,good,high,yes,very high,yes,yes,D,C,D
2–5 hours,0,higher education,higher education,excellent,high,no,low,no,yes,F,D,C
2–5 hours,0,higher education,higher education,good,moderate,yes,very low,no,yes,A,A,A
2–5 hours,0,higher education,high school,good,very high,yes,low,yes,yes,A,A,A
2–5 hours,0,high school,high school,excellent,moderate,yes,low,no,yes,F,D,C
< 2 hours,0,high school,5th–9th grade,excellent,high,no,moderate,no,yes,C,B,B
< 2 hours,0,5th–9th grade,high school,average,very high,yes,very low,no,yes,F,F,F
5–10 hours,2,higher education,high school,excellent,high,yes,moderate,no,yes,B,A,A
5–10 hours,7,higher education,higher education,poor,high,yes,moderate,yes,yes,B,A,B
5–10 hours,2,high school,higher education,good,moderate,yes,low,no,yes,C,C,D
< 2 hours,8,5th–9th grade,5th–9th grade,good,moderate,yes,very low,no,yes,B,C,C
2–5 hours,25,5th–9th grade,5th–9th grade,average,moderate,yes,moderate,yes,yes,F,D,D
< 2 hours,8,higher education,higher education,excellent,high,no,moderate,yes,yes,C,C,C
2–5 hours,2,higher education,higher education,good,moderate,yes,moderate,no,yes,A,A,A
< 2 hours,0,5th–9th grade,5th–9th grade,excellent,high,no,very low,no,yes,F,F,D
2–5 hours,14,5th–9th grade,5th–9th grade,good,moderate,yes,moderate,no,yes,D,D,F
2–5 hours,8,higher education,high school,excellent,low,yes,low,yes,yes,F,F,F
2–5 hours,12,high school,high school,poor,moderate,no,very high,no,yes,D,C,D
> 10 hours,4,higher education,high school,good,low,yes,low,no,yes,A,A,A
2–5 hours,2,higher education,5th–9th grade,good,moderate,no,moderate,no,yes,B,B,B
2–5 hours,2,higher education,higher education,good,high,yes,high,no,yes,F,F,F
2–5 hours,2,5th–9th grade,5th–9th grade,good,moderate,no,moderate,no,yes,C,C,C
2–5 hours,2,higher education,5th–9th grade,good,moderate,no,moderate,no,yes,D,C,C
< 2 hours,6,higher education,5th–9th grade,excellent,very high,no,very high,no,yes,D,D,D
< 2 hours,0,higher education,higher education,average,moderate,no,high,no,yes,F,D,D
< 2 hours,6,high school,high school,excellent,moderate,no,high,no,yes,D,C,C
2–5 hours,8,5th–9th grade,primary education only,excellent,moderate,yes,high,yes,yes,F,F,D
2–5 hours,0,higher education,high school,good,moderate,yes,low,no,yes,B,B,B
2–5 hours,4,higher education,higher education,average,low,yes,low,no,yes,B,B,B
2–5 hours,2,primary education only,5th–9th grade,good,moderate,yes,low,no,yes,F,D,F
2–5 hours,2,higher education,5th–9th grade,good,low,no,moderate,no,yes,B,A,A
2–5 hours,6,higher education,higher education,poor,high,yes,high,no,yes,D,D,D
< 2 hours,6,primary education only,primary education only,excellent,very high,yes,very high,yes,yes,D,F,D
2–5 hours,4,primary education only,5th–9th grade,good,high,yes,moderate,no,yes,F,D,F
5–10 hours,2,higher education,high school,average,high,yes,high,no,yes,D,F,F
2–5 hours,0,higher education,high school,good,high,yes,high,yes,yes,D,D,D
2–5 hours,2,higher education,high school,excellent,high,yes,moderate,no,yes,A,B,B
> 10 hours,4,higher education,higher education,very poor,moderate,yes,moderate,yes,yes,C,C,C
> 10 hours,4,high school,primary education only,good,moderate,no,moderate,no,yes,F,F,F
2–5 hours,2,5th–9th grade,5th–9th grade,good,very low,no,moderate,no,yes,F,F,F
> 10 hours,12,high school,primary education only,good,high,no,low,no,yes,A,A,A
> 10 hours,0,high school,primary education only,good,moderate,no,low,no,yes,C,B,B
> 10 hours,0,higher education,5th–9th grade,average,moderate,no,moderate,no,yes,D,D,D
2–5 hours,2,primary education only,primary education only,average,moderate,no,high,yes,yes,F,F,F
< 2 hours,2,high school,primary education only,excellent,moderate,yes,low,no,yes,C,C,B
2–5 hours,54,high school,high school,good,moderate,yes,moderate,no,yes,D,C,D
