student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,biggest_challenge_other_text,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,life_priority_other_text,age_group,college_stage,gender,gender_other_text,race_ethnicity,race_ethnicity_other_text,parent_four_year_college,college_goal,college_goal_other_text,major_field,major_field_other_text,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
1,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,Motivation/discipline,,Agree,Disagree,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Never,Very often,Sometimes,Often,Never,Not at all,<5 hours,Figuring out my future,,18-19,Second year,Woman,,Middle Eastern/North African,,Yes,Transfer,,STEM,,Somewhat confident,15+ credits,More in-person,0 hours,4,5,4,4,3,5,5,2,3,5,4,2,5,4,5,2,5,0,4,2,3,0,0,1,4,5,0,4.0,3.86
2,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Nothing holding me back,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Not applicable,Very often,Never,Never,Often,Never,Not at all,5-10 hours,Enjoying life,,18-19,First year,Woman,,White,,Yes,Transfer,,Health professions,,Very confident,15+ credits,About equal,20-29 hours,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,4,0,0,3,0,0,2,5,5,3,4.9,5.0
3,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Disagree,Physical health/low energy,,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Agree,Sometimes,Sometimes,Sometimes,Often,Sometimes,Moderate,11-19 hours,Mental/emotional well-being,,Prefer not to say,Second year,Woman,,East Asian,,No,Transfer,,Health professions,,Unsure,12-14 credits,More in-person,0 hours,4,3,3,3,3,4,4,2,4,2,2,3,3,4,4,1,4,2,2,2,3,2,2,3,3,4,0,3.2,3.0
4,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,Teaching style/quality,,Agree,Strongly agree,Agree,Strongly disagree,Disagree,Agree,Agree,Very often,Sometimes,Sometimes,Often,Never,Not at all,<5 hours,Other,All of them,18-19,First year,Man,,South Asian,,Yes,Transfer,,Arts/creative fields,,Very confident,12-14 credits,More in-person,1-9 hours,2,3,4,2,1,3,1,3,2,1,4,5,4,1,2,4,4,4,2,2,3,0,0,1,5,4,1,2.2,3.43
5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Physical health/low energy,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Often,Rarely,Sometimes,Often,Never,Very,5-10 hours,Financial stability,,26 or older,Second year,Woman,,Southeast Asian,,No,Transfer,,Health professions,,Somewhat confident,12-14 credits,More in-person,30+ hours,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,3,1,2,3,0,3,2,4,4,4,3.9,3.43
6,Agree,Disagree,Disagree,Strongly disagree,Disagree,Strongly agree,Agree,Strongly disagree,Agree,Agree,Mental health/emotional stress,,Disagree,Strongly agree,Strongly disagree,Disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Sometimes,Very often,Often,Sometimes,Never,Slight,5-10 hours,Mental/emotional well-being,,18-19,First year,Woman,,South Asian,,Not sure,Associate degree,,Arts/creative fields,,Unsure,12-14 credits,All/mostly in-person,0 hours,4,2,2,1,2,5,4,1,4,4,2,5,1,2,3,1,1,2,4,3,2,0,1,2,3,4,0,2.9,2.14
7,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Not prepared for college-level work,,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Very often,Never,Rarely,Sometimes,Never,Not at all,5-10 hours,Doing well in school,,18-19,First year,Woman,,Latino/Hispanic,,No,Transfer,,Health professions,,Very confident,12-14 credits,All/mostly in-person,0 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,1,2,0,0,2,5,4,0,4.0,4.14
8,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Not prepared for college-level work,,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Very often,Sometimes,Sometimes,Sometimes,Never,Moderate,11-19 hours,Doing well in school,,18-19,First year,Woman,,Latino/Hispanic,,No,Associate degree,,Health professions,,Very confident,12-14 credits,More in-person,1-9 hours,4,4,4,5,4,4,5,4,4,4,4,3,5,4,4,4,5,4,2,2,2,0,2,3,5,4,1,4.2,4.14
9,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Not prepared for college-level work,,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Sometimes,Sometimes,Sometimes,Very often,Never,Very,11-19 hours,Doing well in school,,20-21,Second year,Man,,East Asian,,No,Transfer,,STEM,,Unsure,12-14 credits,All/mostly in-person,10-19 hours,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,2,4,2,2,2,4,0,3,3,3,4,2,3.8,3.57
10,Neither agree nor disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Physical health/low energy,,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Sometimes,Sometimes,Often,Sometimes,Never,Very,<5 hours,Financial stability,,20-21,Third year or beyond,Man,,Southeast Asian,,Not sure,Transfer,,STEM,,Not confident at all,15+ credits,About equal,10-19 hours,3,2,2,2,1,4,2,2,2,1,2,2,3,2,2,1,3,2,2,3,2,0,3,1,1,5,2,2.1,2.14
