student_id,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,life_direction_meaning_score,college_work_resilience_score,campus_seen_supported_score,emotionally_steady_score,hopeful_future_score,clear_values_score,life_depth_moments_score,cheerful_spirits_score,college_growth_score,academic_wellbeing_score,school_time_energy_score,faculty_staff_support_score,people_to_turn_to_score,know_support_resources_score,focus_place_score,enough_sleep_score,parent_caregiver_support_score,enjoyable_company_score,feels_alone_score,phone_social_media_interference_score,physical_activity_score,alcohol_cannabis_social_coping_score,money_stress_score,study_hours_outside_class_score,major_confidence_score,spring_credits_score,paid_work_hours_score,wellbeing_index,school_support_index
1,A,SA,A,A,N,SA,SA,D,N,SA,Motivation,A,D,SA,A,SA,D,SA,Nvr,VO,S,O,Nvr,None,under 5 hours,Future,18 or 19,Second year,Woman,MENA,Yes,Transfer,STEM,Some conf.,15 or more credits,More in-person,0 hours,4,5,4,4,3,5,5,2,3,5,4,2,5,4,5,2,5,0,4,2,3,0,0,1,4,5,0,4.0,3.86
2,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,Nothing,SA,SA,SA,SA,SA,SA,NA,VO,Nvr,Nvr,O,Nvr,None,5 to 10 hours,Enjoy life,18 or 19,First year,Woman,White,Yes,Transfer,Health professions,Very conf.,15 or more credits,Equal,20 to 29 hours,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,4,0,0,3,0,0,2,5,5,3,4.88,5.0
3,A,N,N,N,N,A,A,D,A,D,Low energy,D,N,N,A,A,SD,A,S,S,S,O,S,Mod,11 to 19 hours,Mental well-being,Prefer not,Second year,Woman,East Asian,No,Transfer,Health professions,Unsure,12 to 14 credits,More in-person,0 hours,4,3,3,3,3,4,4,2,4,2,2,3,3,4,4,1,4,2,2,2,3,2,2,3,3,4,0,3.25,3.0
4,D,N,A,D,SD,N,SD,N,D,SD,Teaching,A,SA,A,SD,D,A,A,VO,S,S,O,Nvr,None,under 5 hours,Other,18 or 19,First year,Man,South Asian,Yes,Transfer,Arts/creative,Very conf.,12 to 14 credits,More in-person,1 to 9 hours,2,3,4,2,1,3,1,3,2,1,4,5,4,1,2,4,4,4,2,2,3,0,0,1,5,4,1,2.38,3.43
5,A,A,A,A,A,A,A,A,N,A,Low energy,A,N,N,A,A,N,N,O,R,S,O,Nvr,Very,5 to 10 hours,Money,26 or older,Second year,Woman,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,More in-person,30 or more hours,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,3,3,1,2,3,0,3,2,4,4,4,4.0,3.43
6,A,D,D,SD,D,SA,A,SD,A,A,Mental stress,D,SA,SD,D,N,SD,SD,S,VO,O,S,Nvr,Slight,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,South Asian,Not sure,Associate,Arts/creative,Unsure,12 to 14 credits,All/mostly in-person,0 hours,4,2,2,1,2,5,4,1,4,4,2,5,1,2,3,1,1,2,4,3,2,0,1,2,3,4,0,2.62,2.14
7,A,A,A,A,A,A,A,A,A,A,Not prepared,A,A,A,A,A,A,SA,VO,Nvr,R,S,Nvr,None,5 to 10 hours,School,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,0,1,2,0,0,2,5,4,0,4.0,4.14
8,A,A,A,SA,A,A,SA,A,A,A,Not prepared,A,N,SA,A,A,A,SA,VO,S,S,S,Nvr,Mod,11 to 19 hours,School,18 or 19,First year,Woman,Latino/Hispanic,No,Associate,Health professions,Very conf.,12 to 14 credits,More in-person,1 to 9 hours,4,4,4,5,4,4,5,4,4,4,4,3,5,4,4,4,5,4,2,2,2,0,2,3,5,4,1,4.25,4.14
9,A,A,A,A,A,A,A,A,A,D,Not prepared,N,A,A,A,A,D,A,S,S,S,VO,Nvr,Very,11 to 19 hours,School,20 or 21,Second year,Man,East Asian,No,Transfer,STEM,Unsure,12 to 14 credits,All/mostly in-person,10 to 19 hours,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,2,4,2,2,2,4,0,3,3,3,4,2,4.0,3.57
10,N,D,D,D,SD,A,D,D,D,SD,Low energy,D,D,N,D,D,SD,N,S,S,O,S,Nvr,Very,under 5 hours,Money,20 or 21,Third+,Man,East Asian,Not sure,Transfer,STEM,Not conf.,15 or more credits,Equal,10 to 19 hours,3,2,2,2,1,4,2,2,2,1,2,2,3,2,2,1,3,2,2,3,2,0,3,1,1,5,2,2.25,2.14
