student_id,sub_sample_group,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,wellbeing_index
S001,C,A,SA,A,A,N,SA,SA,D,N,SA,Motivation,A,D,SA,A,SA,D,SA,Nvr,VO,S,O,Nvr,No stress,under 5 hours,Future,18 or 19,Second year,Woman,MENA,Yes,Transfer,STEM,Some conf.,15 or more credits,More in-person,0 hours,4.0
S002,D,SA,SA,A,SA,SA,SA,SA,SA,SA,SA,Nothing,SA,SA,SA,SA,SA,SA,,VO,Nvr,Nvr,O,Nvr,No stress,5 to 10 hours,Enjoy life,18 or 19,First year,Woman,White,Yes,Transfer,Health professions,Very conf.,15 or more credits,Equal,20 to 29 hours,4.88
S003,D,A,N,N,N,N,A,A,D,A,D,Low energy,D,N,N,A,A,SD,A,S,S,S,O,S,Mod,11 to 19 hours,Mental well-being,Prefer not,Second year,Woman,East Asian,No,Transfer,Health professions,Unsure,12 to 14 credits,More in-person,0 hours,3.25
S004,B,D,N,A,D,SD,N,SD,N,D,SD,Teaching,A,SA,A,SD,D,A,A,VO,S,S,O,Nvr,No stress,under 5 hours,Other,18 or 19,First year,Man,South Asian,Yes,Transfer,Arts/creative,Very conf.,12 to 14 credits,More in-person,1 to 9 hours,2.38
S005,D,A,A,A,A,A,A,A,A,N,A,Low energy,A,N,N,A,A,N,N,O,R,S,O,Nvr,Very,5 to 10 hours,Money,26 or older,Second year,Woman,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,More in-person,30 or more hours,4.0
S006,A,A,D,D,SD,D,SA,A,SD,A,A,Mental stress,D,SA,SD,D,N,SD,SD,S,VO,O,S,Nvr,Slight,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,South Asian,Not sure,Associate,Arts/creative,Unsure,12 to 14 credits,All/mostly in-person,0 hours,2.62
S007,C,A,A,A,A,A,A,A,A,A,A,Not prepared,A,A,A,A,A,A,SA,VO,Nvr,R,S,Nvr,No stress,5 to 10 hours,School,18 or 19,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,4.0
S008,D,A,A,A,SA,A,A,SA,A,A,A,Not prepared,A,N,SA,A,A,A,SA,VO,S,S,S,Nvr,Mod,11 to 19 hours,School,18 or 19,First year,Woman,Latino/Hispanic,No,Associate,Health professions,Very conf.,12 to 14 credits,More in-person,1 to 9 hours,4.25
S009,D,A,A,A,A,A,A,A,A,A,D,Not prepared,N,A,A,A,A,D,A,S,S,S,VO,Nvr,Very,11 to 19 hours,School,20 or 21,Second year,Man,East Asian,No,Transfer,STEM,Unsure,12 to 14 credits,All/mostly in-person,10 to 19 hours,4.0
S010,A,N,D,D,D,SD,A,D,D,D,SD,Low energy,D,D,N,D,D,SD,N,S,S,O,S,Nvr,Very,under 5 hours,Money,20 or 21,Third+,Man,East Asian,Not sure,Transfer,STEM,Not conf.,15 or more credits,Equal,10 to 19 hours,2.25
S011,D,SA,SA,A,SA,A,A,A,SA,A,SA,Motivation,SA,SA,SA,A,SA,A,A,S,R,S,O,Nvr,Slight,under 5 hours,Friends/relations,18 or 19,Second year,Woman,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,1 to 9 hours,4.5
S012,A,A,A,N,A,N,SA,SA,N,A,SA,Work,A,N,SA,A,SA,A,SA,VO,S,VO,VO,R,Very,5 to 10 hours,Money,22 to 25,Third+,Man,Latino/Hispanic,No,Associate,STEM,Very conf.,6 to 8 credits,Equal,30 or more hours,3.88
S013,A,D,N,SA,SA,N,D,A,D,SD,A,Motivation,N,N,SD,SA,A,A,D,R,O,Nvr,R,S,Slight,5 to 10 hours,Enjoy life,20 or 21,Second year,Prefer not,South Asian,No,Transfer,Social sciences,No major,15 or more credits,More in-person,10 to 19 hours,3.25
S014,D,A,D,N,SD,N,N,A,N,A,D,Motivation,D,D,N,D,D,SD,N,S,R,VO,R,Nvr,Mod,11 to 19 hours,School,18 or 19,First year,Woman,South Asian,Yes,Transfer,Humanities,Very conf.,15 or more credits,More in-person,1 to 9 hours,2.88
S015,A,A,N,D,N,A,N,A,A,A,A,Mental stress,A,N,A,A,A,A,A,O,VO,S,,Nvr,No stress,5 to 10 hours,Family,18 or 19,First year,Woman,MENA,No,Associate,Health professions,Some conf.,12 to 14 credits,More online,0 hours,3.38
S016,B,SA,A,SA,A,SA,A,SA,D,SA,SA,Low energy,SD,SA,SA,SA,SA,SD,SA,O,R,R,S,Nvr,Slight,5 to 10 hours,School,22 to 25,Second year,Man,MENA,No,Transfer,Social sciences,Very conf.,12 to 14 credits,More online,20 to 29 hours,4.25
S017,D,A,A,N,A,N,A,A,A,N,A,Mental stress,N,N,A,A,A,D,A,O,S,O,S,Nvr,No stress,5 to 10 hours,School,18 or 19,First year,Woman,Multiracial,Yes,Transfer,Undecided,Unsure,12 to 14 credits,Equal,0 hours,3.75
S018,B,SA,A,SA,SA,SA,SA,A,SA,SA,SA,Family/care,A,SA,A,SA,SA,SA,SA,O,Nvr,S,O,Nvr,Slight,5 to 10 hours,Mental well-being,26 or older,Second year,Man,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4.75
S019,C,SA,SA,N,A,SA,SA,SA,SA,A,A,Mental stress,A,A,A,N,A,N,SA,O,S,VO,R,Nvr,No stress,5 to 10 hours,Money,18 or 19,First year,Woman,White,Not sure,Associate,Business,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,4.62
S020,B,A,SA,N,D,D,N,A,D,A,A,Mental stress,A,N,SA,SD,D,D,D,O,S,O,VO,O,Mod,5 to 10 hours,Enjoy life,18 or 19,Second year,Man,White,No,Transfer,Social sciences,Some conf.,15 or more credits,More in-person,20 to 29 hours,3.12
S021,A,A,A,A,A,A,A,A,A,A,A,Family/care,A,A,A,A,A,A,,O,S,S,O,Nvr,No stress,20 or more hours,School,26 or older,First year,Woman,South Asian,No,Transfer,Health professions,Very conf.,12 to 14 credits,More online,1 to 9 hours,4.0
S022,C,D,N,SA,N,N,N,N,D,D,N,Motivation,A,SA,N,A,A,A,SA,,S,O,O,Nvr,No stress,5 to 10 hours,Future,20 or 21,Second year,Man,East Asian,Yes,Associate,Business,Unsure,9 to 11 credits,All/mostly in-person,1 to 9 hours,3.0
S023,C,N,SA,A,N,A,A,SA,N,SA,A,Mental stress,D,SA,N,A,N,SD,A,S,O,VO,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,East Asian,No,Transfer,Health professions,Some conf.,15 or more credits,All/mostly in-person,10 to 19 hours,3.88
S024,B,SA,SA,SA,SA,SA,SA,,SA,SA,SA,Family/care,A,SA,SA,SA,A,A,,VO,Nvr,R,S,Nvr,Ext,20 or more hours,Family,26 or older,Second year,Woman,MENA,No,Transfer,Business,Unsure,9 to 11 credits,More online,0 hours,5.0
S025,B,A,SA,A,SD,D,SD,SD,SD,A,A,Mental stress,A,SA,N,N,A,A,SD,R,VO,R,S,VO,Ext,under 5 hours,Money,20 or 21,Third+,Man,Multiracial,No,Transfer,Health professions,Some conf.,1 to 5 credits,All/mostly in-person,30 or more hours,2.38
